smiles	fraction_unbound
Cc1nc(C2CCN(CC2)C(=O)[C@@H]3C[C@@](C)(N)C[C@H]3c4ccc(F)cc4F)n(n1)c5cc(Cl)ccc5Cl	24.5
CN(C)[C@@]1(C)C[C@@H]([C@H](C1)c2ccc(F)cc2F)C(=O)N3CCC(CC3)c4ccnn4c5ccc(F)c(Cl)c5	10.4
CN(C)[C@]1(C)C[C@H]([C@@H](C1)c2ccc(F)cc2F)C(=O)N3CCC(CC3)c4nc(C)nn4c5cc(Cl)ccc5Cl	33
C[C@@]1(N)C[C@@H]([C@H](C1)c2ccc(F)cc2F)C(=O)N3CCC(CC3)c4ccnn4c5ccc(F)c(Cl)c5	6.5
Cc1nc(C2CCN(CC2)C(=O)[C@@H]3C[C@@](C)(N)C[C@H]3c4ccc(F)cc4F)n(n1)c5ccc(F)c(Cl)c5	20.5
CN(C)[C@]1(C)C[C@@H]([C@H](C1)c2ccc(F)cc2F)C(=O)N3CCC(CC3)c4ccnn4c5ccc(F)c(Cl)c5	14.4
CN(C)C(=O)c1ccc(cc1)c2ccc3C(=O)N(CCN4CCCC4)CCc3c2	59
O[C@@]1(CC[C@H](CC1)N[C@H]2CCN(C2)C(=O)CNC(=O)c3cccc(c3)C(F)(F)F)c4ccc(cn4)c5ncccn5	23
C[C@]1(CNC2(CCCC2)C(=O)N1CC(=O)Nc3cnc4C[C@]5(Cc4c3)C(=O)Nc6ncccc56)c7cc(F)cc(F)c7	35
Fc1cc(F)cc(c1)[C@@H]2CNC3(CCCC3)C(=O)N2CC(=O)Nc4ccc5C[C@]6(Cc5c4)C(=O)Nc7ncccc67	9.4
C[C@]1(CNC2(CCCC2)C(=O)N1CC(=O)Nc3ccc4C[C@]5(Cc4c3)C(=O)Nc6ncccc56)c7cc(F)cc(F)c7	10.6
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(NC(=O)c3oc(Nc4ccc(F)c(F)c4)nn3)cc2	0.3
Clc1ccc(NC(=O)N2CCN(C[C@@H]3CCCN(C3)C4CC4)CC2)cc1Cl	5
OC(=O)C1=CC(=C2C=CC=CN2C1=O)CN3CCN(CC3)c4ccccc4	25
OC(=O)CN1C(=O)[C@]2(CN(Cc3cc(Cl)ccc3F)C(=O)C2)c4cc(Cl)ccc14	1
OC(=O)CN1C(=O)[C@@]2(NC(=O)N(Cc3cc(Cl)ccc3F)C2=O)c4cc(Cl)ccc14	2.3
CN1C(=O)N(Cc2cc(Cl)ccc2F)C(=O)[C@]13C(=O)N(CC(=O)O)c4ccc(Cl)cc34	2
